numero_guia;id_clinica;created_at;id_pet;id_plano;observacao;id_prestador;id_procedimento;valor_momento;justificativa;laudo;imagem_laudo;autorizacao;tipo_atendimento;status;updated_at
83629;189;2017-08-23;1016970151;11;;178;10100;1.00;;;;;;LIBERADO;
83859;197;2017-08-24;1016970151;11;;197;251041;0.40;;;;;;LIBERADO;
84419;189;2017-08-28;1016350284;20;;178;221002;0.30;;;;;;LIBERADO;
84419;189;2017-08-28;1016350284;20;;178;221001;0.60;;;;;;LIBERADO;
84419;189;2017-08-28;1016350284;20;;178;221003;0.60;;;;;;LIBERADO;
83509;21;2017-08-22;1019380125;15;NEGATIVA DE AUTORIZACAO;133;251002;0.15;;;;;;RECUSADO;
83509;21;2017-08-22;1019380125;15;NEGATIVA DE AUTORIZACAO;133;251054;0.71;;;;;;RECUSADO;
83509;21;2017-08-22;1019380125;15;NEGATIVA DE AUTORIZACAO;133;251059;0.95;;;;;;RECUSADO;
82159;189;2017-08-15;1020580167;19;;220;10101010;0.00;;;;;;LIBERADO;
82659;189;2017-08-17;1020600117;18;;220;10101010;0.00;;;;;;LIBERADO;
82669;189;2017-08-17;1020600117;18;ERRO;220;10101010;0.00;;;;;;RECUSADO;
84409;189;2017-08-28;1016350101;20;;178;221002;0.30;;;;;;LIBERADO;
84409;189;2017-08-28;1016350101;20;;178;221003;0.60;;;;;;LIBERADO;
84409;189;2017-08-28;1016350101;20;;178;221001;0.60;;;;;;LIBERADO;
82909;31;2017-08-18;1018480134;11;;31;261084;1.30;;;;;;LIBERADO;
82839;189;2017-08-18;1020510118;18;;220;10101010;0.00;;;;;;LIBERADO;
83699;3;2017-08-23;1017150131;11;NEGATIVA DE AUTORIZACAO;88;10811;7.00;;;;;;RECUSADO;
82679;189;2017-08-17;1020600290;18;;220;10101010;0.00;;;;;;LIBERADO;
82019;3;2017-08-15;1017260157;11;NEGATIVA DE AUTORIZACAO;88;211114;0.10;;;;;;RECUSADO;
82019;3;2017-08-15;1017260157;11;NEGATIVA DE AUTORIZACAO;88;251097;5.00;;;;;;RECUSADO;
