competencia;vencimento;data_pagamento;valor_original;valor_pago;id_cliente
2017/02;17/02/2017;17/02/2017;93,2;93,2;1008130033
2017/05;10/05/2017;10/05/2017;69,9;69,9;1008130033
2017/03;10/03/2017;07/03/2017;93,2;93,2;1008130033
2016/10;14/10/2016;13/10/2016;69,9;76,95;1008130033
2016/12;10/12/2016;10/01/2017;69,9;69,9;1008130033
2016/11;10/11/2016;08/11/2016;69,9;69,9;1008130033
2017/07;10/07/2017;10/07/2017;69,9;69,9;1008130033
2017/01;10/01/2017;10/01/2017;93,2;93,2;1008130033
2017/08;10/08/2017;09/08/2017;69,9;69,9;1008130033
2017/01;25/01/2017;26/01/2017;129,9;142,93;1008140004
2016/11;25/11/2016;28/11/2016;129,9;143,01;1008140004
2017/05;25/05/2017;24/05/2017;129,9;129,9;1008140004
2017/03;25/03/2017;23/03/2017;129,9;129,9;1008140004
2017/04;03/05/2017;03/05/2017;129,9;143,23;1008140004
2016/12;25/12/2016;02/01/2017;129,9;143,09;1008140004
2016/10;25/10/2016;25/10/2016;129,9;129,9;1008140004
2017/02;06/03/2017;06/03/2017;129,9;132,87;1008140004
2017/06;25/06/2017;26/06/2017;129,9;129,9;1008140004
2017/07;25/07/2017;25/07/2017;129,9;129,9;1008140004
2017/05;10/12/2016;30/09/2016;223,68;223,68;1008160021
2016/09;10/10/2016;10/10/2016;237,66;237,66;1008160021
2017/01;29/11/2016;29/11/2016;223,68;246,99;1008160021
2016/11;25/11/2016;07/12/2016;109,9;121,37;1008180057
2016/12;15/01/2017;24/01/2017;109,9;122,09;1008180057
2016/10;18/11/2016;18/11/2016;159,9;177,15;1008180057
2017/06;10/06/2017;09/06/2017;129,9;129,9;1008190010
2017/03;10/03/2017;08/03/2017;129,9;129,9;1008190010
2017/02;10/02/2017;06/02/2017;129,9;129,9;1008190010
2017/05;15/05/2017;15/05/2017;129,9;143,1;1008190010
2016/10;13/10/2016;13/10/2016;129,9;129,9;1008190010
2017/07;10/07/2017;06/07/2017;129,9;129,9;1008190010
2016/12;10/12/2016;07/12/2016;129,9;129,9;1008190010
2016/11;10/11/2016;14/11/2016;129,9;143,05;1008190010
2017/04;10/04/2017;07/04/2017;129,9;129,9;1008190010
2017/01;10/01/2017;10/01/2017;129,9;129,9;1008190010
2017/08;10/08/2017;10/08/2017;129,9;129,9;1008190010
2016/11;29/12/2016;02/01/2017;239,7;265,91;1008200007
2016/10;06/12/2016;07/12/2016;289,7;318,77;1008200007
2017/06;10/06/2017;12/06/2017;129,9;129,9;1008220024
2017/03;10/03/2017;10/03/2017;129,9;129,9;1008220024
2017/02;10/02/2017;10/02/2017;129,9;129,9;1008220024
2017/05;10/05/2017;10/05/2017;129,9;129,9;1008220024
2016/10;10/10/2016;10/10/2016;129,9;129,9;1008220024
2017/07;10/07/2017;05/07/2017;129,9;129,9;1008220024
2016/12;10/12/2016;20/12/2016;129,9;143,29;1008220024
2016/11;10/11/2016;09/11/2016;129,9;129,9;1008220024
2017/04;10/04/2017;10/04/2017;129,9;129,9;1008220024
2017/01;10/01/2017;05/01/2017;129,9;129,9;1008220024
2017/08;11/08/2017;11/08/2017;129,9;129,94;1008220024
2017/06;10/06/2017;09/06/2017;69,9;69,9;1008230097
2017/02;10/02/2017;30/01/2017;69,9;69,9;1008230097
2017/03;10/03/2017;06/03/2017;62,91;62,91;1008230097
2016/10;18/10/2016;17/10/2016;69,9;69,9;1008230097
2017/07;10/07/2017;06/07/2017;69,9;69,9;1008230097
2017/05;10/05/2017;28/04/2017;62,91;62,91;1008230097
2016/12;10/12/2016;09/12/2016;69,9;69,9;1008230097
2016/11;10/11/2016;10/11/2016;69,9;69,9;1008230097
2017/04;10/04/2017;06/04/2017;69,9;69,9;1008230097
2017/01;12/01/2017;12/01/2017;69,9;76,93;1008230097
2017/08;10/08/2017;10/08/2017;69,9;69,9;1008230097
2016/11;23/01/2017;23/01/2017;89,9;100,64;1008250012
2017/05;10/12/2016;30/09/2016;223,68;223,68;1008260085
2016/09;10/10/2016;10/10/2016;237,66;237,66;1008260085
2017/01;22/11/2016;21/11/2016;223,68;223,68;1008260085
2017/07;27/07/2017;27/07/2017;1248;1248;1008260085
2017/01;25/01/2017;25/01/2017;239,8;239,8;1008270048
2016/11;25/11/2016;25/11/2016;39,8;39,8;1008270048
2017/04;25/04/2017;25/04/2017;239,8;239,8;1008270048
2017/03;25/03/2017;24/03/2017;239,8;239,8;1008270048
2016/12;25/12/2016;26/12/2016;239,8;239,8;1008270048
2016/10;25/10/2016;24/10/2016;439,8;439,8;1008270048
2017/02;25/02/2017;24/02/2017;239,8;239,8;1008270048
2017/05;25/05/2017;25/05/2017;239,8;239,8;1008270048
